GBIR6967-15;Emberiza impetuani impetuani
KBAR861-06;Phimosus infuscatus
KBAR862-06;Syrigma sibilatrix
KBAR863-06;Tigrisoma lineatum
KBAR864-06;Milvago chimachima
KBAR865-06;Milvago chimachima
KBAR866-06;Synallaxis frontalis
KBAR867-06;Thamnophilus caerulescens
KBAR870-06;Chloroceryle amazona
KBAR873-06;Hydropsalis torquata
KBAR874-06;Veniliornis passerinus
KBAR877-06;Egretta thula
KBAR879-06;Chloroceryle amazona
KBAR881-06;Tigrisoma lineatum
KBAR882-06;Ardea alba
KBAR883-06;Chloroceryle amazona
KBAR884-06;Melanerpes candidus
KBAR886-06;Megaceryle torquata
KBAR889-06;Syndactyla rufosuperciliata
KBAR890-06;Anumbius annumbi
KBAR891-06;Nyctidromus albicollis
KBAR898-06;Aramus guarauna
KBAR899-06;Falco femoralis
KBAR903-06;Vanellus chilensis
KBAR907-06;Picumnus cirratus
KBAR910-06;Synallaxis albescens
KBAR914-06;Psittacara leucophthalmus
KBAR915-06;Veniliornis mixtus
KBAR916-06;Psittacara leucophthalmus
KBAR918-06;Patagioenas maculosa
KBAR919-06;Myiopsitta monachus
KBAR928-06;Ardea alba
KBAR930-06;Campephilus leucopogon
KBAR931-06;Veniliornis passerinus
KBAR934-06;Chlorostilbon lucidus
KBAR935-06;Melanerpes candidus
KBAR936-06;Melanerpes candidus
KBAR937-06;Myiopsitta monachus
KBAR938-06;Megaceryle torquata
KBAR939-06;Nycticorax nycticorax
KBARG003-07;Sternula superciliaris
KBARG006-07;Zenaida auriculata
KBARG008-07;Ardea cocoi
KBARG013-07;Caracara plancus
KBARG019-07;Phalacrocorax brasilianus
KBARG023-07;Leucocarbo atriceps
KBARG024-07;Platalea ajaja
KBARG029-07;Spheniscus magellanicus
KBARG030-07;Butorides striata
KBARG031-07;Larus dominicanus
KBARG033-07;Larus dominicanus
KBARG035-07;Passer domesticus
KBARG036-07;Caracara plancus
KBARG045-07;Charadrius collaris
KBARG053-07;Calidris melanotos
KBARG054-07;Sternula superciliaris
KBARG055-07;Columba livia
KBARG061-07;Spheniscus magellanicus
KBARG069-07;Patagioenas picazuro
KBARG071-07;Phalacrocorax brasilianus
KBARG080-07;Calidris melanotos
KBARG083-07;Butorides striata
KBARG084-07;Celeus lugubris
KBARG086-07;Leucocarbo atriceps
KBARG089-07;Butorides striata
KBARG091-07;Gallinula chloropus
KBARG092-07;Spheniscus magellanicus
KBARG093-07;Caracara plancus
KBARG095-07;Phacellodomus ruber
KBARG098-07;Falco femoralis
KBARG101-07;Colaptes pitius
KBARG103-07;Nyctibius griseus
KBARG112-07;Mycteria americana
KBARG113-07;Hylocharis chrysura
KBARG120-07;Aramides cajaneus
KBARG129-07;Celeus lugubris
KBARG144-07;Coccyzus melacoryphus
KBARG145-07;Tapera naevia
KBARG146-07;Amazona aestiva
KBARG152-07;Coccyzus melacoryphus
KBARG156-07;Pyriglena leucoptera
KBARG160-07;Eleothreptus anomalus
KBARG161-07;Coryphistera alaudina
KBARG167-07;Myiopsitta monachus
KBARG168-07;Eleothreptus anomalus
KBARG175-07;Eleothreptus anomalus
KBARG176-07;Coryphistera alaudina
KBARG178-07;Picumnus temminckii
KBARG191-07;Cyanoliseus patagonus
KBARG194-07;Asthenes baeri
KBARG195-07;Aphrastura spinicauda
KBARG196-07;Veniliornis lignarius
KBARG197-07;Phytotoma rara
KBARG198-07;Cinclodes patagonicus
KBARG201-07;Stigmatura budytoides
KBARG202-07;Zenaida auriculata
KBARG205-07;Asthenes pyrrholeuca
KBARG206-07;Asthenes pyrrholeuca
KBARG207-07;Cyanoliseus patagonus
KBARG210-07;Eudromia elegans
KBARG212-07;Turdus falcklandii
KBARG222-07;Pseudoseisura gutturalis
KBARG225-07;Phytotoma rutila
KBARG226-07;Upucerthia dumetaria
KBARG228-07;Sylviorthorhynchus desmurii
KBARG230-07;Pseudoseisura gutturalis
KBARG234-07;Veniliornis lignarius
KBARG235-07;Pteroptochos tarnii
KBARG236-07;Cinclodes fuscus
KBARG237-07;Cinclodes patagonicus
KBARG238-07;Pseudoseisura gutturalis
KBARG243-07;Phytotoma rara
KBARG246-07;Falco sparverius
KBARG248-07;Patagioenas maculosa
KBARG251-07;Sylviorthorhynchus desmurii
KBARG256-07;Patagioenas maculosa
KBARG258-07;Colaptes pitius
KBARG259-07;Scelorchilus rubecula
KBARG260-07;Patagioenas araucana
KBARG265-07;Asthenes baeri
KBARG266-07;Scelorchilus rubecula
KBARG267-07;Scytalopus magellanicus
KBARG269-07;Pygarrhichas albogularis
KBARG277-07;Leptasthenura aegithaloides
KBARG282-07;Drymophila rubricollis
KBARG289-07;Tiaris fuliginosus
KBARG294-07;Stigmatura budytoides
KBARG295-07;Chloroceryle americana
KBARG300-07;Phytotoma rutila
KBARG302-07;Furnarius rufus
KBARG304-07;Turdus leucomelas
KBARG307-07;Hylocharis chrysura
KBARG314-07;Turdus rufiventris
KBARG315-07;Automolus leucophthalmus
KBARG316-07;Automolus leucophthalmus
KBARG321-07;Thalurania glaucopis
KBARG322-07;Hylocharis chrysura
KBARG323-07;Baryphthengus ruficapillus
KBARG330-07;Turdus rufiventris
KBARG331-07;Dysithamnus mentalis
KBARG332-07;Turdus albicollis
KBARG337-07;Pteroglossus castanotis
KBARG338-07;Turdus leucomelas
KBARG339-07;Automolus leucophthalmus
KBARG342-07;Synallaxis albescens
KBARG344-07;Thalurania glaucopis
KBARG350-07;Synallaxis albescens
KBARG352-07;Turdus albicollis
KBARG353-07;Dysithamnus mentalis
KBARG355-07;Dysithamnus mentalis
KBARG356-07;Philydor atricapillus
KBARG359-07;Xenops minutus
KBARG363-07;Automolus leucophthalmus
KBARG364-07;Turdus leucomelas
KBARG367-07;Xenops minutus
KBARG369-07;Stephanoxis lalandi
KBARG370-07;Chloroceryle americana
KBARG372-07;Baryphthengus ruficapillus
KBARG378-07;Ramphastos dicolorus
KBARG381-07;Amazilia versicolor
KBARG392-07;Turdus albicollis
KBARG397-07;Philydor atricapillus
KBARG400-07;Phaethornis eurynome
KBARG405-07;Amazilia versicolor
KBARG410-07;Phaethornis eurynome
KBARG413-07;Leptotila verreauxi
KBARG416-07;Forpus xanthopterygius
KBARG419-07;Ramphastos toco
KBARG420-07;Chlorostilbon lucidus
KBBI001-07;Alcedo atthis
KBBI007-07;Grus monacha
KBBI012-07;Ardea cinerea
KBBI013-07;Butorides striata
KBBI018-07;Ardea alba
KBBI020-07;Picus canus
KBBI030-07;Dryocopus martius
KBBI033-07;Falco tinnunculus
KBBI034-07;Picus canus
KBBI036-07;Larus argentatus
KBBI039-07;Nycticorax nycticorax
KBBI041-07;Botaurus stellaris
KBBI044-07;Falco peregrinus
KBBI045-07;Caprimulgus indicus
KBBI051-07;Gallicrex cinerea
KBBI052-07;Halcyon coromanda
KBBI055-07;Falco subbuteo
KBBI056-07;Falco tinnunculus
KBBI057-07;Parus major
KBBI059-07;Phasianus colchicus
KBBI060-07;Phasianus colchicus
KBBI063-07;Phasianus colchicus
KBBI065-07;Falco tinnunculus
KBBI066-07;Falco tinnunculus
KBBI078-07;Streptopelia orientalis
KBBI079-07;Picus canus
KBBI081-07;Ardea cinerea
KBBI082-07;Passer montanus
KBBI085-07;Ardea intermedia
KBBI090-07;Pluvialis fulva
KBBI091-07;Ardea cinerea
KBBI092-07;Ixobrychus sinensis
KBBI093-07;Ardea intermedia
KBBI094-07;Parus major
KBBI096-07;Picus canus
KBBI098-07;Butorides striata
KBBI100-07;Ardea cinerea
KBBI104-07;Lanius bucephalus
KBBI105-07;Anser albifrons
KBBI106-07;Anser albifrons
KBBI108-07;Anser fabalis
KBBI111-07;Streptopelia orientalis
KBBI115-07;Ardea alba
KBBI118-07;Cygnus cygnus
KBBI121-07;Nycticorax nycticorax
KBBI133-07;Turdus cardis
KBBI136-07;Nycticorax nycticorax
KBBI137-07;Branta bernicla
KBBI144-07;Parus major
KBBI149-07;Eurystomus orientalis
KBBI150-07;Gallinula chloropus
KBBI155-07;Anser albifrons
KBBI159-07;Falco tinnunculus
KBBI160-07;Falco tinnunculus
KBBI163-07;Falco tinnunculus
KBBI166-07;Ardea alba
KBBI171-07;Falco tinnunculus
KBBI172-07;Streptopelia orientalis
KBBI174-07;Streptopelia orientalis
KBBI175-07;Ardea cinerea
KBBI176-07;Phasianus colchicus
KBBI177-07;Picus canus
KBBI178-07;Caprimulgus indicus
KBBI181-07;Pluvialis squatarola
KBBI182-07;Ardea alba
KBBI183-07;Cuculus canorus
KBBI186-07;Larus crassirostris
KBBI187-07;Calidris tenuirostris
KBBI188-07;Calidris tenuirostris
KBBI189-07;Larus crassirostris
KBBI193-07;Calidris tenuirostris
KBBI194-07;Passer montanus
KBBI196-07;Falco tinnunculus
KBBI198-07;Bubulcus ibis
KBBI199-07;Bubulcus ibis
KBBI201-07;Streptopelia orientalis
KBBI202-07;Bubulcus ibis
KBBI204-07;Passer montanus
KBBI205-07;Streptopelia orientalis
KBBI206-07;Butorides striata
KBBI208-07;Calidris tenuirostris
KBBI209-07;Butorides striata
KBBI210-07;Streptopelia orientalis
KBBI212-07;Ardea cinerea
KBBI213-07;Ardea intermedia
KBBI215-07;Alcedo atthis
KBBI217-07;Passer montanus
KBBI219-07;Gallinula chloropus
KBBI224-07;Columba livia
KBBI225-07;Parus major
KBBI229-07;Streptopelia orientalis
KBBI233-07;Passer montanus
KBBI237-07;Anser fabalis
KBBI240-07;Nycticorax nycticorax
KBBI241-07;Phasianus colchicus
KBBI248-07;Columba livia
KBBI251-07;Columba livia
KBBI252-07;Columba livia
KBBI253-07;Bubulcus ibis
KBNA003-04;Gallinula chloropus
KBNA011-04;Zenaida macroura
KBNA015-04;Catharus guttatus
KBNA016-04;Catharus guttatus
KBNA130-04;Megaceryle alcyon
KBNA153-04;Sturnus vulgaris
KBNA215-04;Dryobates pubescens
KBNA216-04;Melanerpes carolinus
KBNA217-04;Melanerpes carolinus
KBNA221-04;Turdus migratorius
KBNA223-04;Catharus ustulatus
KBNA224-04;Catharus fuscescens
KBNA369-04;Catharus guttatus
KBNA371-04;Passer domesticus
KBNA372-04;Passer domesticus
KBNA447-04;Sturnus vulgaris
KBNA455-04;Butorides virescens
KBNA457-04;Megaceryle alcyon
KBNA459-04;Archilochus colubris
KBNA461-04;Ardea herodias
KBNA462-04;Colaptes auratus
KBNA465-04;Archilochus colubris
KBNA469-04;Zenaida macroura
KBNA483-04;Dryocopus pileatus
KBNA524-04;Branta bernicla
KBNA527-04;Branta bernicla
KBNA537-04;Branta hutchinsii
KBNA567-04;Anser caerulescens
KBNA579-04;Anser albifrons
KBNA606-04;Pluvialis dominica
KBNA607-04;Pluvialis dominica
KBNA608-04;Pluvialis dominica
KBNA609-04;Charadrius melodus
KBNA610-04;Charadrius melodus
KBNA611-04;Charadrius melodus
KBNA612-04;Charadrius melodus
KBNA613-04;Charadrius semipalmatus
KBNA614-04;Charadrius semipalmatus
KBNA615-04;Charadrius semipalmatus
KBNA624-04;Larus californicus
KBNA631-04;Leucophaeus pipixcan
KBNA634-04;Larus hyperboreus
KBNA635-04;Larus hyperboreus
KBNA640-04;Larus marinus
KBNA641-04;Larus heermanni
KBNA642-04;Larus heermanni
KBNA643-04;Larus heermanni
KBNA644-04;Larus smithsonianus
KBNA645-04;Larus smithsonianus
KBNA646-04;Larus smithsonianus
KBNA651-04;Larus dominicanus
KBNA655-04;Larus canus
KBNA660-04;Larus delawarensis
KBNA661-04;Rhodostethia rosea
KBNA664-04;Larus occidentalis
KBNA665-04;Larus occidentalis
KBNA666-04;Larus occidentalis
KBNA679-04;Sphyrapicus varius
KBNA707-04;Colaptes auratus
KBNA823-04;Catharus ustulatus
KBNA826-04;Catharus ustulatus
KBNA865-04;Ardea alba
KBNA868-04;Ardea alba
KBNA876-04;Bubulcus ibis
KBNA877-04;Bubulcus ibis
KBNA889-04;Gallinula chloropus
KBNA890-04;Gallinula chloropus
KBNA971-06;Larus hyperboreus
KBNA972-06;Larus glaucoides thayeri
KBOL002-08;Asthenes dorbignyi
KBOL003-08;Zenaida auriculata
KBOL008-08;Synallaxis azarae
KBOL020-08;Systellura longirostris
KBOL026-08;Pseudocolaptes boissonneautii
KBOL029-08;Cranioleuca albiceps
KBOL034-08;Cranioleuca albiceps
KBOL049-08;Momotus momota
KBOL064-08;Premnoplex brunnescens
KBOL069-08;Synallaxis azarae
KBOL071-08;Premnoplex brunnescens
KBOL074-08;Synallaxis azarae
KBOL080-08;Synallaxis azarae
KBOL081-08;Tiaris obscurus
KBPBK001-08;Passer domesticus
KBPBK015-08;Sturnus vulgaris
KBPBK024-08;Sturnus vulgaris
KBPBK046-08;Pyrgilauda davidiana
KBPBK047-08;Pyrgilauda davidiana
KBPBK084-08;Passer montanus
KBPBK110-08;Passer ammodendri
KBPBK121-08;Passer montanus
KBPBK125-08;Passer montanus
KBPBK143-08;Passer hispaniolensis
KBPBK144-08;Passer hispaniolensis
KBPBK145-08;Passer domesticus
KBPBK146-08;Passer montanus
KBPBK154-08;Passer montanus
KBPBK156-08;Passer montanus
KBPBK161-08;Passer domesticus
KBPBK181-08;Petronia petronia
KBPBK184-08;Passer montanus
KBPBK186-08;Montifringilla nivalis
KBPBK187-08;Montifringilla nivalis
KBPBK195-08;Sturnus vulgaris
KBPBK197-08;Passer domesticus
KBPBK216-08;Petronia petronia
KBPBK237-08;Passer domesticus
KBPBK276-08;Passer cinnamomeus
KBPBK304-08;Passer montanus
KBPBK340-08;Passer cinnamomeus
KBPBK345-08;Passer montanus
KBPBR075-07;Periparus ater
KBPBR086-07;Cyanistes caeruleus
KBPBR102-07;Periparus ater
KBPBR103-07;Poecile montanus
KBPBR110-07;Parus major
KBPBR121-07;Poecile montanus
KBPBR125-07;Poecile montanus
KBPBR127-07;Poecile cinctus
KBPBR131-07;Lophophanes cristatus
KBPBR134-07;Parus major
KBPBR148-07;Cyanistes cyanus
KBPBR150-07;Poecile montanus
KBPBR158-07;Prunella montanella
KBPBR178-07;Cyanistes caeruleus
KBPBR180-07;Poecile montanus
KBPBR194-07;Periparus ater
KBPBR197-07;Poecile montanus
KBPBR205-07;Prunella fulvescens
KBPBR206-07;Prunella himalayana
KBPBR208-07;Periparus ater
KBPBR214-07;Prunella fulvescens
KBPBR215-07;Prunella fulvescens
KBPBR217-07;Poecile montanus
KBPBR233-07;Poecile montanus
KBPBR241-07;Poecile montanus
KBPBR250-07;Parus major
KBPBR255-07;Poecile montanus
KBPBR256-07;Poecile cinctus
KBPBR257-07;Prunella atrogularis
KBPBR258-07;Prunella atrogularis
KBPBR262-07;Parus major
KBPBR264-07;Poecile palustris
KBPBR266-07;Parus major
KBPBR283-07;Cyanistes caeruleus
KBPBR297-07;Prunella himalayana
KBPBR313-07;Poecile montanus
KBPBR350-07;Poecile montanus
KBPBR353-07;Poecile palustris
KBPBR357-07;Poecile cinctus
KBPBR366-07;Poecile palustris
KBPBR415-07;Poecile montanus
KBPBR416-07;Prunella montanella
KBPBR424-07;Periparus ater
KBPBR425-07;Parus major
KBPBR435-07;Poecile cinctus
KBPBR451-07;Cyanistes caeruleus
KBPBR500-07;Poecile montanus
KBPBR507-07;Poecile palustris
KBPBR510-07;Poecile palustris
KBPBR523-07;Lophophanes cristatus
KBPBR526-07;Poecile montanus
KBPBU011-06;Phalacrocorax pelagicus
KBPBU012-06;Phalacrocorax pelagicus
KBPBU013-06;Ardea cinerea
KBPBU014-06;Ardeola ralloides
KBPBU015-06;Ixobrychus eurhythmus
KBPBU016-06;Ixobrychus eurhythmus
KBPBU017-06;Ixobrychus eurhythmus
KBPBU018-06;Ixobrychus eurhythmus
KBPBU019-06;Ixobrychus eurhythmus
KBPBU022-06;Ixobrychus minutus
KBPBU076-06;Falco amurensis
KBPBU077-06;Falco amurensis
KBPBU079-06;Falco columbarius
KBPBU080-06;Falco naumanni
KBPBU082-06;Falco tinnunculus
KBPBU083-06;Falco tinnunculus
KBPBU084-06;Falco tinnunculus
KBPBU115-06;Phasianus colchicus
KBPBU128-06;Tetrax tetrax
KBPBU129-06;Rallus aquaticus
KBPBU130-06;Porzana porzana
KBPBU131-06;Crex crex
KBPBU132-06;Fulica atra
KBPBU134-06;Burhinus oedicnemus
KBPBU135-06;Vanellus vanellus
KBPBU136-06;Vanellus vanellus
KBPBU137-06;Vanellus vanellus
KBPBU138-06;Vanellus vanellus
KBPBU139-06;Vanellus vanellus
KBPBU161-06;Pluvialis squatarola
KBPBU162-06;Pluvialis squatarola
KBPBU163-06;Pluvialis squatarola
KBPBU164-06;Pluvialis squatarola
KBPBU165-06;Pluvialis fulva
KBPBU166-06;Pluvialis fulva
KBPBU167-06;Pluvialis fulva
KBPBU168-06;Pluvialis apricaria
KBPBU169-06;Pluvialis apricaria
KBPBU170-06;Pluvialis apricaria
KBPBU171-06;Pluvialis apricaria
KBPBU173-06;Charadrius alexandrinus
KBPBU174-06;Charadrius alexandrinus
KBPBU175-06;Charadrius alexandrinus
KBPBU176-06;Charadrius alexandrinus
KBPBU177-06;Charadrius dubius
KBPBU178-06;Charadrius dubius
KBPBU179-06;Charadrius dubius
KBPBU180-06;Charadrius dubius
KBPBU181-06;Charadrius dubius
KBPBU182-06;Charadrius morinellus
KBPBU183-06;Charadrius mongolus
KBPBU184-06;Charadrius mongolus
KBPBU185-06;Charadrius mongolus
KBPBU186-06;Charadrius leschenaultii
KBPBU203-06;Calidris alpina
KBPBU204-06;Calidris alpina
KBPBU206-06;Calidris minuta
KBPBU209-06;Calidris subminuta
KBPBU214-06;Calidris alba
KBPBU215-06;Calidris alba
KBPBU216-06;Calidris alba
KBPBU217-06;Calidris alba
KBPBU218-06;Calidris canutus
KBPBU219-06;Calidris canutus
KBPBU220-06;Calidris canutus
KBPBU221-06;Calidris tenuirostris
KBPBU222-06;Calidris tenuirostris
KBPBU231-06;Calidris pugnax
KBPBU232-06;Calidris pugnax
KBPBU233-06;Calidris pugnax
KBPBU234-06;Calidris pugnax
KBPBU235-06;Calidris pugnax
KBPBU304-06;Larus fuscus heuglini
KBPBU305-06;Larus vegae
KBPBU306-06;Larus vegae
KBPBU307-06;Larus canus
KBPBU308-06;Larus canus
KBPBU309-06;Larus canus
KBPBU310-06;Larus canus
KBPBU311-06;Larus canus
KBPBU312-06;Larus crassirostris
KBPBU314-06;Larus crassirostris
KBPBU315-06;Larus crassirostris
KBPBU318-06;Larus hyperboreus
KBPBU319-06;Larus hyperboreus
KBPBU321-06;Chroicocephalus ridibundus
KBPBU322-06;Chroicocephalus ridibundus
KBPBU325-06;Chroicocephalus ridibundus
KBPBU326-06;Chlidonias niger
KBPBU328-06;Chlidonias niger
KBPBU329-06;Chlidonias niger
KBPBU330-06;Chlidonias leucopterus
KBPBU331-06;Chlidonias leucopterus
KBPBU332-06;Chlidonias leucopterus
KBPBU334-06;Chlidonias hybrida
KBPBU335-06;Chlidonias hybrida
KBPBU336-06;Chlidonias hybrida
KBPBU337-06;Chlidonias hybrida
KBPBU338-06;Sternula albifrons
KBPBU340-06;Onychoprion aleuticus
KBPBU341-06;Sterna hirundo
KBPBU342-06;Sterna hirundo
KBPBU343-06;Sterna hirundo
KBPBU345-06;Sterna hirundo
KBPBU347-06;Sterna paradisaea
KBPBU348-06;Sterna paradisaea
KBPBU350-06;Sterna paradisaea
KBPBU360-06;Syrrhaptes paradoxus
KBPBU361-06;Syrrhaptes paradoxus
KBPBU362-06;Syrrhaptes paradoxus
KBPBU363-06;Syrrhaptes paradoxus
KBPBU364-06;Columba rupestris
KBPBU365-06;Columba rupestris
KBPBU366-06;Columba rupestris
KBPBU367-06;Columba rupestris
KBPBU368-06;Columba rupestris
KBPBU369-06;Columba livia
KBPBU370-06;Columba livia
KBPBU371-06;Columba rupestris
KBPBU372-06;Columba palumbus
KBPBU373-06;Columba palumbus
KBPBU374-06;Columba palumbus
KBPBU375-06;Streptopelia turtur
KBPBU378-06;Streptopelia orientalis
KBPBU379-06;Streptopelia orientalis
KBPBU380-06;Streptopelia orientalis
KBPBU381-06;Streptopelia orientalis
KBPBU382-06;Cuculus canorus
KBPBU383-06;Cuculus canorus
KBPBU384-06;Cuculus canorus
KBPBU385-06;Cuculus canorus
KBPBU386-06;Cuculus canorus
KBPBU387-06;Cuculus optatus
KBPBU388-06;Cuculus optatus
KBPBU389-06;Cuculus optatus
KBPBU390-06;Cuculus optatus
KBPBU391-06;Cuculus optatus
KBPBU409-06;Caprimulgus indicus
KBPBU410-06;Caprimulgus indicus
KBPBU412-06;Caprimulgus europaeus
KBPBU413-06;Caprimulgus europaeus
KBPBU414-06;Caprimulgus europaeus
KBPBU415-06;Caprimulgus europaeus
KBPBU421-06;Tachymarptis melba
KBPBU422-06;Tachymarptis melba
KBPBU427-06;Apus pacificus
KBPBU428-06;Hirundapus caudacutus
KBPBU429-06;Hirundapus caudacutus
KBPBU430-06;Hirundapus caudacutus
KBPBU431-06;Coracias garrulus
KBPBU432-06;Coracias garrulus
KBPBU433-06;Coracias garrulus
KBPBU434-06;Coracias garrulus
KBPBU435-06;Eurystomus orientalis
KBPBU436-06;Eurystomus orientalis
KBPBU438-06;Alcedo atthis
KBPBU439-06;Alcedo atthis
KBPBU440-06;Alcedo atthis
KBPBU441-06;Alcedo atthis
KBPBU442-06;Alcedo atthis
KBPBU443-06;Merops apiaster
KBPBU444-06;Merops apiaster
KBPBU445-06;Merops apiaster
KBPBU447-06;Merops apiaster
KBPBU448-06;Dryocopus martius
KBPBU449-06;Dryocopus martius
KBPBU450-06;Dryocopus martius
KBPBU451-06;Dryocopus martius
KBPBU452-06;Dryocopus martius
KBPBU453-06;Picus canus
KBPBU454-06;Picus canus
KBPBU455-06;Picus canus
KBPBU457-06;Picus viridis
KBPBU458-06;Picus viridis
KBPBU459-06;Picus viridis
KBPBU460-06;Picus viridis
KBPBU461-06;Picoides tridactylus
KBPBU462-06;Picoides tridactylus
KBPBU463-06;Picoides tridactylus
KBPBU464-06;Picoides tridactylus
KBPBU465-06;Picoides tridactylus
KBPBU473-06;Dendrocopos leucotos
KBPBU474-06;Dendrocopos leucotos
KBPBU475-06;Dendrocopos leucotos
KBPBU476-06;Dendrocopos leucotos
KBPBU477-06;Dendrocopos leucotos
KBPBU478-06;Dendrocopos major
KBPBU479-06;Dendrocopos major
KBPBU480-06;Dendrocopos major
KBPBU481-06;Dendrocopos major
KBPBU482-06;Dendrocopos major
KBPBU486-06;Dryobates minor
KBPBU487-06;Dryobates minor
KBPBU488-06;Dryobates minor
KBPBU489-06;Dryobates minor
KBPBU490-06;Dryobates minor
KBPBU496-06;Jynx torquilla
KBPBU608-06;Pericrocotus divaricatus
KBPBU609-06;Pericrocotus divaricatus
KBPBU610-06;Lanius collurio
KBPBU611-06;Lanius collurio
KBPBU612-06;Lanius collurio
KBPBU613-06;Lanius collurio
KBPBU614-06;Lanius isabellinus
KBPBU615-06;Lanius cristatus
KBPBU616-06;Lanius cristatus
KBPBU617-06;Lanius cristatus
KBPBU618-06;Lanius excubitor
KBPBU619-06;Lanius excubitor
KBPBU620-06;Lanius excubitor
KBPBU621-06;Lanius isabellinus
KBPBU622-06;Lanius isabellinus
KBPBU623-06;Lanius minor
KBPBU624-06;Lanius minor
KBPBU625-06;Lanius minor
KBPBU626-06;Lanius minor
KBPBU627-06;Lanius tigrinus
KBPBU643-06;Turdus chrysolaus
KBPBU644-06;Turdus chrysolaus
KBPBU645-06;Turdus iliacus
KBPBU646-06;Turdus iliacus
KBPBU647-06;Turdus iliacus
KBPBU648-06;Turdus iliacus
KBPBU649-06;Turdus merula
KBPBU650-06;Turdus merula
KBPBU651-06;Turdus merula
KBPBU652-06;Turdus merula
KBPBU653-06;Turdus merula
KBPBU654-06;Turdus naumanni
KBPBU655-06;Turdus naumanni
KBPBU656-06;Turdus naumanni
KBPBU657-06;Turdus obscurus
KBPBU658-06;Turdus obscurus
KBPBU659-06;Turdus obscurus
KBPBU660-06;Turdus obscurus
KBPBU661-06;Turdus obscurus
KBPBU662-06;Turdus pallidus
KBPBU663-06;Turdus pallidus
KBPBU665-06;Turdus pallidus
KBPBU667-06;Turdus philomelos
KBPBU668-06;Turdus philomelos
KBPBU669-06;Turdus philomelos
KBPBU670-06;Turdus pilaris
KBPBU671-06;Turdus pilaris
KBPBU672-06;Turdus pilaris
KBPBU673-06;Turdus ruficollis
KBPBU674-06;Turdus ruficollis
KBPBU675-06;Turdus ruficollis
KBPBU676-06;Turdus ruficollis
KBPBU677-06;Turdus torquatus
KBPBU678-06;Turdus torquatus
KBPBU679-06;Turdus torquatus
KBPBU680-06;Turdus viscivorus
KBPBU681-06;Turdus viscivorus
KBPBU682-06;Turdus viscivorus
KBPBU683-06;Turdus viscivorus
KBPBU684-06;Turdus viscivorus
KBPBU755-06;Butorides striata
KBPBU756-06;Butorides striata
KBPBU757-06;Butorides striata
KBPBU758-06;Falco subbuteo
KBPBU759-06;Falco subbuteo
KBPBU761-06;Falco subbuteo
KBPBU764-06;Streptopelia orientalis
KBPBU765-06;Streptopelia orientalis
KBPBU766-06;Streptopelia orientalis
KBPBU770-06;Turdus hortulorum
KBPBU771-06;Turdus hortulorum
KBPBU772-06;Turdus naumanni
KBPBU773-06;Turdus naumanni
KBPBU774-06;Phasianus colchicus
KBPBU775-06;Phasianus colchicus
KBPBU784-06;Turdus iliacus
KBPBU785-06;Turdus pallidus
KBPBU787-06;Turdus pilaris
KBPBU788-06;Turdus ruficollis
KBPBU789-06;Larus vegae
KBPZM011-06;Turdus merula
KBPZM014-06;Turdus merula
KBPZM017-06;Parus major
KBPZM023-06;Cyanistes caeruleus
KBPZM024-06;Cyanistes caeruleus
KBPZM036-06;Turdus merula
KBPZM037-06;Poecile palustris
KBPZM038-06;Poecile palustris
KBPZM039-06;Alcedo atthis
KBPZM047-06;Turdus merula
KBPZM049-06;Cyanistes caeruleus
KBPZM050-06;Cyanistes caeruleus
KBPZM061-07;Turdus ruficollis
KBPZM062-07;Turdus ruficollis
KBPZM063-07;Turdus ruficollis
KBPZM064-07;Cyanistes cyanus
KBPZM065-07;Cyanistes cyanus
KBPZM066-07;Turdus viscivorus
KBPZM067-07;Turdus viscivorus
KBPZM068-07;Turdus naumanni
KBPZM069-07;Parus major
KBPZM070-07;Turdus naumanni
KBPZM071-07;Egretta eulophotes
KBPZM072-07;Turdus torquatus
KBPZM076-07;Passer cinnamomeus
KBPZM080-07;Passer cinnamomeus
KBPZM081-07;Passer cinnamomeus
KBPZM082-07;Ardeola bacchus
KBPZM084-07;Cyanistes caeruleus
KBPZM085-07;Cyanistes caeruleus
KBPZM086-07;Cyanistes caeruleus
KBPZM087-07;Poecile montanus
KBPZM092-07;Parus major
KBPZM093-07;Poecile palustris
KBPZM100-07;Lanius bucephalus
KBPZM102-07;Poecile montanus
KBPZM103-07;Turdus chrysolaus
KBPZM104-07;Parus major
KBPZM114-07;Lophophanes cristatus
KBPZM115-07;Cyanistes caeruleus
KBPZM126-07;Lanius bucephalus
KBPZM127-07;Lanius bucephalus
KBPZM148-07;Turdus chrysolaus
KBPZM152-07;Turdus chrysolaus
KBPZM153-07;Turdus chrysolaus
KBPZM175-07;Prunella rubida
KBPZM181-07;Poecile palustris
KBPZM188-07;Turdus chrysolaus
KBPZM194-07;Turdus chrysolaus
KBPZM229-07;Periparus ater
KBPZM230-07;Periparus ater
KBPZM241-07;Turdus viscivorus
KBPZM242-07;Periparus ater
KBPZM243-07;Periparus ater
KBPZM244-07;Periparus ater
KBPZM245-07;Turdus naumanni
KBPZM246-07;Turdus naumanni
KBPZM247-07;Cyanistes cyanus
KBPZM248-07;Poecile palustris
KBPZM249-07;Cyanistes cyanus
KBPZM250-07;Poecile montanus
KBPZM251-07;Poecile palustris
KBPZM252-07;Poecile montanus
